t_sec,xVest_m,yVest_m,zVest_m,omegaXVest_degPSec,omegaYVest_degPSec,omegaZVest_degPSec,xVis_m,yVis_m,zVis_m,xVisDot_mPSec,yVisDot_mPSec,zVisDot_mPSec,omegaXVis_degPSec,omegaYVis_degPSec,omegaZVis_degPSec,g_xvis,g_yvis,g_zvis,g,Pos ON,Vel ON,AngVel ON,G ON,Sickness,thetaXVest_deg,thetaYVest_deg,thetaZVest_deg,thetaXVis_deg,thetaYVis_deg,thetaZVis_deg
0.8122263,-0.2951324,-0.5615263,1.076848,3.263005,-23.03297,87.24921,0.237068,0.4219953,-1.596848,-0.1194398,-0.0001009186,-0.03403612,-3.263005,23.03297,-87.24921,0, 0, -1, 1, 1, 1, 1, 1,0,3.334351,-3.26767,-86.99352,3.334351,-3.26767,-86.99352
0.8241941,-0.2939484,-0.5613555,1.077282,1.203588,-20.70324,73.24163,0.235884,0.4218245,-1.597282,-0.1049531,-0.01514275,-0.0385279,-1.203588,20.70324,-73.24163,0, 0, -1, 1, 1, 1, 1, 1,0,3.348755,-3.515442,-86.11698,3.348755,-3.515442,-86.11698
0.8351652,-0.2930154,-0.5610571,1.077405,-1.949925,-19.15711,62.81693,0.234951,0.4215261,-1.597405,-0.08355539,-0.02672107,-0.01101724,1.949925,19.15711,-62.81693,0, 0, -1, 1, 1, 1, 1, 1,0,3.327362,-3.725616,-85.42781,3.327362,-3.725616,-85.42781
0.8461356,-0.2922068,-0.5611527,1.077686,-4.53157,-19.6674,56.18771,0.2341424,0.4216217,-1.597686,-0.07242497,0.00856361,-0.02514626,4.53157,19.6674,-56.18771,0, 0, -1, 1, 1, 1, 1, 1,0,3.277649,-3.941376,-84.81141,3.277649,-3.941376,-84.81141
0.8571092,-0.2917072,-0.5609667,1.077939,-8.968724,-18.47418,37.09436,0.2336428,0.4214357,-1.597939,-0.04487263,-0.01670078,-0.02273875,8.968724,18.47418,-37.09436,0, 0, -1, 1, 1, 1, 1, 1,0,3.17923,-4.144104,-84.40435,3.17923,-4.144104,-84.40435
0.8680768,-0.2912436,-0.5607497,1.077952,-11.35547,-15.60994,31.16076,0.2331792,0.4212186,-1.597952,-0.04135305,-0.01936331,-0.001105867,11.35547,15.60994,-31.16076,0, 0, -1, 1, 1, 1, 1, 1,0,3.054688,-4.315308,-84.06259,3.054688,-4.315308,-84.06259
0.8790479,-0.2910668,-0.5607454,1.078036,-11.91095,-11.42139,20.26003,0.2330024,0.4212144,-1.598036,-0.0163462,-0.0003912946,-0.007836915,11.91095,11.42139,-20.26003,0, 0, -1, 1, 1, 1, 1, 1,0,2.924011,-4.440613,-83.84032,2.924011,-4.440613,-83.84032
0.8900185,-0.2910921,-0.5606074,1.078073,-9.680526,-5.346543,7.736771,0.2330277,0.4210764,-1.598073,0.00226429,-0.01233905,-0.0033032,9.680526,5.346543,-7.736771,0, 0, -1, 1, 1, 1, 1, 1,0,2.81781,-4.499268,-83.75544,2.81781,-4.499268,-83.75544
0.9009887,-0.2910176,-0.5604624,1.077996,-6.656994,-4.982314,7.234231,0.2329532,0.4209313,-1.597996,-0.006678818,-0.01299445,0.006879102,6.656994,4.982314,-7.234231,0, 0, -1, 1, 1, 1, 1, 1,0,2.744781,-4.553925,-83.67608,2.744781,-4.553925,-83.67608
0.9129567,-0.2912979,-0.5606377,1.077906,-2.651929,0.1453461,-2.910747,0.2332335,0.4211067,-1.597906,0.02496378,0.01561796,0.008016014,2.651929,-0.1453461,2.910747,0, 0, -1, 1, 1, 1, 1, 1,0,2.713043,-4.552185,-83.71091,2.713043,-4.552185,-83.71091
